,BSSH_NM,ADDR,HG_ASGN_LV
224,박가 부대찌개,"서울특별시 강서구 공항대로 269-15(2층 213-1~2호 마곡동, 가양 1동 힐스테이트에코마곡)",우수
225,아웃오브오피스,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물1동 1층일부 고매동),매우우수
226,삼생맛(3生맛),"대구광역시 수성구 범어로19길 2(1,2층 범어동)",우수
227,교촌치킨 금광1호점,경기도 성남시 중원구 자혜로 82-1(1층 금광동),매우우수
228,파파밸리피자 뉴코아 평촌점,경기도 안양시 동안구 동안로 119(일부 지하 2층 호계동),좋음
229,교촌치킨운암2호점,광주광역시 북구 비엔날레로 29(1층 운암동),매우우수
230,(주)보림로지스틱스죽암(토스트외),충청북도 청주시 서원구 현도면 경부고속도로 290(죽암휴게소 서울종점 1층),매우우수
231,이탈리안 레스토랑 고산,전라남도 신안군 팔금면 삼층석탑길 473,좋음
232,푸라닭 충남내포신도시점,충청남도 홍성군 홍북읍 청사로174번길 25(성원타워 103호),우수
233,빽다방 미아역점,서울특별시 강북구 도봉로 190(비전빌딩 1층 미아동),매우우수
234,믿음직화 영등포빅마켓점,서울특별시 영등포구 영중로 125(롯데마트 2층 15호 영등포동8가),매우우수
235,투썸플레이스대구두산동DT점,"대구광역시 수성구 무학로 121(1,2층 두산동)",매우우수
236,멕시카나정자점,경기도 성남시 분당구 내정로7번길 7(1층 정자동),매우우수
237,볼케이노히어로까페,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 1층 일부호 고매동),매우우수
238,60계치킨(오목교역점),서울특별시 양천구 목동동로12길 20(하버드 1층 103호 신정동),매우우수
239,피자헛 정읍점,전라북도 정읍시 충정로 70(101호 상동),매우우수
240,(주)보림로지스틱스 죽암(스테프핫도그),충청북도 청주시 서원구 현도면 경부고속도로 290(죽암휴게소 서울종점 1층),매우우수
241,지에스25  익산궁동점,전라북도 익산시 무왕로25길 21(부송동),매우우수
242,엔제리너스VIC마켓영등포점,"서울특별시 영등포구 영중로 125(영등포동8가, VIC마켓 영등포점 2층 일부)",매우우수
243,문카페,전라남도 신안군 안좌면 소곡두리길 319(2층),매우우수
244,던킨도너츠,충청남도 홍성군 홍성읍 내포로 8,매우우수
245,던킨도너츠 강북구청사거리점,서울특별시 강북구 도봉로 358(코스타타워 1층 102호 번동),매우우수
246,파파존스피자 목동점,"서울특별시 양천구 목동서로 213(지상2층 205호206호 목동, 세신비젼프라자)",매우우수
247,교촌치킨(일산점),강원도 원주시 무실로 117(원동),매우우수
248,아시아문평촌엔오점,경기도 안양시 동안구 동안로 119(범계뉴코아 지하2층 호계동),매우우수
249,파파존스 용산점,"서울특별시 용산구 서빙고로 69(1층 상가 15호 용산동5가, 파크타워아파트)",우수
250,홍리마라탕 용인,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 2층 일부호 고매동),매우우수
251,어린이미술관카페,"경기도 성남시 분당구 판교역로146번길 20(백현동, 현대백화점 판교복합몰 5층 일부)",매우우수
252,신참떡볶이(테크노점),대구광역시 달성군 유가면 테크노상업로4길 7-4(1층 106호 로얄타워),매우우수
253,묵찜빠,대구광역시 남구 중앙대로 247-1(1층 대명동),좋음
254,제주산방식당대구점,대구광역시 수성구 달구벌대로 2420(1층 범어동),매우우수
255,엔제리너스 동의의료원점,"부산광역시 부산진구 양정로 52-57(양정동,동의의료원 내1층)",매우우수
256,베스킨라빈스,"울산광역시 동구 방어진순환도로 637(일산동,지하1층)",매우우수
257,하남성,울산광역시 동구 대송로 19(일산동),매우우수
258,호식이두마리치킨 신정5동점,"울산광역시 남구 월평로171번길 26(115호 신정동, 신정 지웰)",매우우수
259,베스킨라빈스(전하점),울산광역시 동구 전하로 2(전하동),매우우수
260,비에이치씨(BHC)치킨,"부산광역시 부산진구 범양로125번길 13(양정동,1층)",매우우수
261,비비큐상모점,"경상북도 구미시 상사서로 11(901동 105호 상모동, 신세계타운2단지)",매우우수
262,교촌치킨 갈곶고현점,경기도 평택시 진위면 엘지로 55-59,매우우수
263,푸라닭성남위례점,"경기도 성남시 수정구 위례광장로 21-13(힘찬프라자 123,124호 창곡동)",우수
264,떡볶이참잘하는집떡참광명하안점,경기도 광명시 범안로 1061(삼전빌딩 107호 하안동),매우우수
265,화성시니어클럽 노노카페 (봉담도서관점),경기도 화성시 봉담읍 샘마을1길 8-4(4층 봉담도서관),좋음
266,배스킨라빈스,경상북도 포항시 남구 연일읍 연일로 157(1층 102호),매우우수
